,Start_id,End_id,counts
0,30000,30000,969
1,30000,30001,10
2,30000,30002,1
3,30000,30003,4
4,30000,30004,101
5,30000,30005,92
6,30000,30006,55
7,30000,30007,26
8,30000,30008,9
9,30000,30009,109
10,30000,30010,44
11,30000,30011,189
12,30000,30012,32
13,30000,30013,11
14,30000,30014,16
15,30000,30015,77
16,30000,30016,35
17,30000,30017,15
18,30000,30018,19
19,30000,30019,20
20,30000,30021,133
21,30000,30022,8
22,30000,30023,2
23,30000,30024,30
24,30000,30025,19
25,30000,30026,7
26,30000,30027,16
27,30000,30028,141
28,30000,30029,112
29,30000,30030,131
30,30000,30031,15
31,30000,30032,25
32,30000,30034,42
33,30000,30035,38
34,30000,30037,15
35,30000,30038,2
36,30000,30039,52
37,30000,30040,100
38,30000,30041,17
39,30000,30042,93
40,30000,30043,13
41,30000,30044,8
42,30000,30045,11
43,30000,30046,71
44,30000,30047,89
45,30000,30048,6
46,30000,30050,79
47,30000,30051,62
48,30000,30052,45
49,30000,30053,95
50,30000,30054,12
51,30000,30055,35
52,30000,30056,39
53,30000,30057,70
54,30000,30058,33
55,30000,30059,2
56,30000,30060,17
57,30000,30061,2
58,30000,30062,9
59,30000,30063,31
60,30000,30064,4
61,30000,30065,51
62,30000,30066,3
63,30000,30068,8
64,30000,30069,3
65,30000,30071,3
66,30000,30073,2
67,30000,30074,32
68,30000,30075,9
69,30000,30076,2
70,30000,30080,4
71,30000,30081,2
72,30000,30083,4
73,30000,30087,35
74,30000,30088,145
75,30000,30089,18
76,30000,30090,215
77,30000,30091,290
78,30000,30092,64
79,30000,30093,74
80,30000,30094,3
81,30000,30095,3
82,30000,30096,58
83,30000,30097,1
84,30000,30098,82
85,30000,30103,4
86,30000,30104,123
87,30000,30108,1
88,30000,30109,10
89,30000,30110,33
90,30000,30112,20
91,30000,30113,2
92,30000,30114,2
93,30000,30115,44
94,30000,30142,64
95,30000,30143,254
96,30000,30144,263
97,30000,30145,29
98,30000,30146,23
99,30000,30147,18
100,30000,30149,4
101,30000,30150,2
102,30000,30151,278
103,30000,30152,83
104,30000,30153,1
105,30000,30154,634
106,30000,30155,1
107,30000,30157,4
108,30000,30158,19
109,30000,30160,10
110,30000,30161,3
111,30000,30162,7
112,30000,30163,3
113,30000,30164,2
114,30000,30165,1
115,30000,30166,1
116,30000,30167,1
117,30000,30168,39
118,30000,30169,63
119,30000,30170,184
120,30000,30171,24
121,30000,30172,59
122,30000,30173,40
123,30000,30174,2
124,30000,30175,25
125,30000,30176,51
126,30000,30177,8
127,30000,30178,8
128,30000,30179,102
129,30000,30180,50
130,30000,30181,35
131,30000,30182,88
132,30000,30183,50
133,30000,30184,176
134,30000,30185,26
135,30000,30186,122
136,30000,30187,6
137,30000,30188,39
138,30000,30189,18
139,30000,30190,19
140,30000,30191,3
141,30000,30192,8
142,30000,30193,14
143,30000,30194,33
144,30000,30195,20
145,30000,30196,4
146,30000,30197,37
147,30000,30198,51
148,30000,30201,3
149,30000,30202,264
150,30000,30203,1
151,30000,30204,8
152,30001,30000,8
153,30001,30001,176
154,30001,30002,16
155,30001,30004,3
156,30001,30005,6
157,30001,30006,1
158,30001,30007,2
159,30001,30008,23
160,30001,30009,4
161,30001,30010,1
162,30001,30011,7
163,30001,30012,2
164,30001,30013,10
165,30001,30014,30
166,30001,30015,13
167,30001,30016,2
168,30001,30017,2
169,30001,30018,12
170,30001,30019,23
171,30001,30020,2
172,30001,30021,2
173,30001,30022,5
174,30001,30023,3
175,30001,30024,58
176,30001,30025,12
177,30001,30026,59
178,30001,30027,22
179,30001,30028,3
180,30001,30029,12
181,30001,30030,4
182,30001,30031,30
183,30001,30032,6
184,30001,30033,1
185,30001,30034,25
186,30001,30037,8
187,30001,30038,6
188,30001,30039,5
189,30001,30040,3
190,30001,30041,1
191,30001,30043,8
192,30001,30044,25
193,30001,30045,77
194,30001,30046,8
195,30001,30047,2
196,30001,30049,7
197,30001,30050,1
198,30001,30051,6
199,30001,30052,1
200,30001,30054,34
201,30001,30055,18
202,30001,30056,5
203,30001,30057,71
204,30001,30058,18
205,30001,30060,3
206,30001,30061,2
207,30001,30063,2
208,30001,30064,4
209,30001,30073,2
210,30001,30074,14
211,30001,30075,9
212,30001,30076,1
213,30001,30077,3
214,30001,30080,23
215,30001,30081,55
216,30001,30083,14
217,30001,30085,6
218,30001,30086,12
219,30001,30087,2
220,30001,30088,9
221,30001,30090,14
222,30001,30091,10
223,30001,30092,6
224,30001,30093,9
225,30001,30097,1
226,30001,30098,1
227,30001,30099,2
228,30001,30100,2
229,30001,30102,2
230,30001,30108,4
231,30001,30109,3
232,30001,30110,6
233,30001,30113,2
234,30001,30114,2
235,30001,30115,12
236,30001,30123,1
237,30001,30134,1
238,30001,30136,6
239,30001,30142,1
240,30001,30143,4
241,30001,30144,11
242,30001,30147,45
243,30001,30149,110
244,30001,30152,1
245,30001,30153,1
246,30001,30154,30
247,30001,30155,3
248,30001,30157,7
249,30001,30158,22
250,30001,30160,1
251,30001,30161,15
252,30001,30162,7
253,30001,30163,8
254,30001,30164,1
255,30001,30167,28
256,30001,30168,2
257,30001,30170,3
258,30001,30172,5
259,30001,30174,8
260,30001,30176,3
261,30001,30179,6
262,30001,30182,1
263,30001,30183,12
264,30001,30184,8
265,30001,30186,7
266,30001,30187,2
267,30001,30189,3
268,30001,30190,1
269,30001,30191,1
270,30001,30192,2
271,30001,30194,18
272,30001,30195,4
273,30001,30197,7
274,30001,30198,52
275,30001,30199,2
276,30001,30202,2
277,30002,30000,6
278,30002,30001,10
279,30002,30002,177
280,30002,30003,28
281,30002,30004,2
282,30002,30005,4
283,30002,30006,4
284,30002,30007,1
285,30002,30008,3
286,30002,30009,27
287,30002,30011,24
288,30002,30012,2
289,30002,30014,39
290,30002,30015,64
