"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-01","8.95","0.00","0.0","9",,"6","-9"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-02","4.03","0.00","0.0","9",,"1","-15"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-03","2.91","0.00","0.0","9",,"7","-14"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-04","5.59","0.00","0.0","9",,"7","-10"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-05","3.13","0.00","0.0","9",,"10","-9"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-06","2.91","0.00","0.0","9",,"16","-4"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-07","15.88","0.06","2.2","11",,"16","4"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-08","7.61","0.00","0.0","11",,"8","-6"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-09","3.58","0.00","0.0","11",,"6","-14"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-10","7.83","0.00","0.0","11",,"15","-6"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-11","5.82","0.00","0.0","10",,"22","8"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-12","6.93","0.00","0.0","10",,"22","2"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-01-13","6.49","0.00","0.0","10",,"28","19"
